doc_id,section_title,section_text,policy_type,version,jurisdiction,severity_default,tags
P068,Leave Application Process,"This section describes the rules and practices related to leave application process for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are encouraged to plan planned leave well in advance to support project scheduling. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"leave, application, process"
P069,Approval Workflow for Long Leave,"This section describes the rules and practices related to approval workflow for long leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are encouraged to plan planned leave well in advance to support project scheduling. Exceptions may be granted only with prior written approval from the appropriate authority. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"approval, workflow, for, long, leave"
P070,Final Settlement Leave Encashment,"This section describes the rules and practices related to final settlement leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"final, settlement, leave, encashment"
P071,Remote Work Eligibility,This section defines the expectations and constraints for remote work eligibility in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias.,remote_work,v1,GLOBAL,medium,"remote, work, eligibility"
P072,Remote Work Within Home City,"This section defines the expectations and constraints for remote work within home city in the context of remote work and work-from-home arrangements. Employees are expected to review this clause before raising queries with HR. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",remote_work,v1,GLOBAL,medium,"remote, work, within, home, city"
P073,Remote Work Outside Home City,"This section defines the expectations and constraints for remote work outside home city in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, outside, home, city"
P074,Remote Work from Another State,"This section defines the expectations and constraints for remote work from another state in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, state"
P075,Remote Work from Another Country,"This section defines the expectations and constraints for remote work from another country in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers may temporarily restrict remote work during critical project milestones. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, country"
P076,Maximum Remote Days Per Month,"This section defines the expectations and constraints for maximum remote days per month in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"maximum, remote, days, per, month"
P077,Use of Co-working Spaces,"This section defines the expectations and constraints for use of co-working spaces in the context of remote work and work-from-home arrangements. Employees must ensure reliable connectivity, data security, and a professional work environment. This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"use, of, co-working, spaces"
P078,VPN and Security Requirements,"This section defines the expectations and constraints for vpn and security requirements in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers should apply this rule consistently across their teams to avoid perceived bias. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"vpn, and, security, requirements"
P079,Remote Work During Critical Onsite Days,"This section defines the expectations and constraints for remote work during critical onsite days in the context of remote work and work-from-home arrangements. Managers should apply this rule consistently across their teams to avoid perceived bias. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, during, critical, onsite, days"
P080,Remote Work Misuse and Disciplinary Action,"This section defines the expectations and constraints for remote work misuse and disciplinary action in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are expected to review this clause before raising queries with HR. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, misuse, and, disciplinary, action"
P081,Remote Work Eligibility,"This section defines the expectations and constraints for remote work eligibility in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"remote, work, eligibility"
P082,Remote Work Within Home City,"This section defines the expectations and constraints for remote work within home city in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias.",remote_work,v1,GLOBAL,medium,"remote, work, within, home, city"
P083,Remote Work Outside Home City,"This section defines the expectations and constraints for remote work outside home city in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees must ensure reliable connectivity, data security, and a professional work environment.",remote_work,v1,GLOBAL,medium,"remote, work, outside, home, city"
P084,Remote Work from Another State,"This section defines the expectations and constraints for remote work from another state in the context of remote work and work-from-home arrangements. Managers should apply this rule consistently across their teams to avoid perceived bias. Managers may temporarily restrict remote work during critical project milestones. Employees must ensure reliable connectivity, data security, and a professional work environment. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, state"
P085,Remote Work from Another Country,"This section defines the expectations and constraints for remote work from another country in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, country"
P086,Maximum Remote Days Per Month,"This section defines the expectations and constraints for maximum remote days per month in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Exceptions may be granted only with prior written approval from the appropriate authority. Managers may temporarily restrict remote work during critical project milestones. Managers should apply this rule consistently across their teams to avoid perceived bias.",remote_work,v1,GLOBAL,medium,"maximum, remote, days, per, month"
P087,Use of Co-working Spaces,"This section defines the expectations and constraints for use of co-working spaces in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. This section may be reviewed and updated as business or legal requirements evolve. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"use, of, co-working, spaces"
P088,VPN and Security Requirements,"This section defines the expectations and constraints for vpn and security requirements in the context of remote work and work-from-home arrangements. Managers should apply this rule consistently across their teams to avoid perceived bias. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"vpn, and, security, requirements"
P089,Remote Work During Critical Onsite Days,"This section defines the expectations and constraints for remote work during critical onsite days in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"remote, work, during, critical, onsite, days"
P090,Remote Work Misuse and Disciplinary Action,"This section defines the expectations and constraints for remote work misuse and disciplinary action in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers may temporarily restrict remote work during critical project milestones. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"remote, work, misuse, and, disciplinary, action"
P091,Remote Work Eligibility,"This section defines the expectations and constraints for remote work eligibility in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers may temporarily restrict remote work during critical project milestones. Managers should apply this rule consistently across their teams to avoid perceived bias.",remote_work,v1,GLOBAL,medium,"remote, work, eligibility"
P092,Remote Work Within Home City,This section defines the expectations and constraints for remote work within home city in the context of remote work and work-from-home arrangements. Employees are expected to review this clause before raising queries with HR. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority.,remote_work,v1,GLOBAL,medium,"remote, work, within, home, city"
P093,Remote Work Outside Home City,"This section defines the expectations and constraints for remote work outside home city in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers should apply this rule consistently across their teams to avoid perceived bias. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",remote_work,v1,GLOBAL,medium,"remote, work, outside, home, city"
P094,Remote Work from Another State,"This section defines the expectations and constraints for remote work from another state in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Employees must ensure reliable connectivity, data security, and a professional work environment. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, state"
P095,Remote Work from Another Country,This section defines the expectations and constraints for remote work from another country in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. This section may be reviewed and updated as business or legal requirements evolve. Managers may temporarily restrict remote work during critical project milestones.,remote_work,v1,GLOBAL,medium,"remote, work, from, another, country"
P096,Maximum Remote Days Per Month,"This section defines the expectations and constraints for maximum remote days per month in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Employees are expected to review this clause before raising queries with HR. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers should apply this rule consistently across their teams to avoid perceived bias.",remote_work,v1,GLOBAL,medium,"maximum, remote, days, per, month"
P097,Use of Co-working Spaces,"This section defines the expectations and constraints for use of co-working spaces in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers should apply this rule consistently across their teams to avoid perceived bias. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"use, of, co-working, spaces"
P098,VPN and Security Requirements,"This section defines the expectations and constraints for vpn and security requirements in the context of remote work and work-from-home arrangements. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers should apply this rule consistently across their teams to avoid perceived bias. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"vpn, and, security, requirements"
P099,Remote Work During Critical Onsite Days,"This section defines the expectations and constraints for remote work during critical onsite days in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"remote, work, during, critical, onsite, days"
P100,Remote Work Misuse and Disciplinary Action,"This section defines the expectations and constraints for remote work misuse and disciplinary action in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. This section may be reviewed and updated as business or legal requirements evolve. Employees must ensure reliable connectivity, data security, and a professional work environment. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, misuse, and, disciplinary, action"
P101,Remote Work Eligibility,"This section defines the expectations and constraints for remote work eligibility in the context of remote work and work-from-home arrangements. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, eligibility"
P102,Remote Work Within Home City,"This section defines the expectations and constraints for remote work within home city in the context of remote work and work-from-home arrangements. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees must ensure reliable connectivity, data security, and a professional work environment. Employees are expected to review this clause before raising queries with HR. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"remote, work, within, home, city"
P103,Remote Work Outside Home City,"This section defines the expectations and constraints for remote work outside home city in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers may temporarily restrict remote work during critical project milestones. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, outside, home, city"
P104,Remote Work from Another State,"This section defines the expectations and constraints for remote work from another state in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Exceptions may be granted only with prior written approval from the appropriate authority. This section may be reviewed and updated as business or legal requirements evolve.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, state"
P105,Remote Work from Another Country,"This section defines the expectations and constraints for remote work from another country in the context of remote work and work-from-home arrangements. Exceptions may be granted only with prior written approval from the appropriate authority. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers may temporarily restrict remote work during critical project milestones. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, country"
P106,Maximum Remote Days Per Month,"This section defines the expectations and constraints for maximum remote days per month in the context of remote work and work-from-home arrangements. Managers may temporarily restrict remote work during critical project milestones. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Exceptions may be granted only with prior written approval from the appropriate authority. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"maximum, remote, days, per, month"
P107,Use of Co-working Spaces,"This section defines the expectations and constraints for use of co-working spaces in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees must ensure reliable connectivity, data security, and a professional work environment. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"use, of, co-working, spaces"
P108,VPN and Security Requirements,"This section defines the expectations and constraints for vpn and security requirements in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"vpn, and, security, requirements"
P109,Remote Work During Critical Onsite Days,"This section defines the expectations and constraints for remote work during critical onsite days in the context of remote work and work-from-home arrangements. Employees must ensure reliable connectivity, data security, and a professional work environment. This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"remote, work, during, critical, onsite, days"
P110,Remote Work Misuse and Disciplinary Action,"This section defines the expectations and constraints for remote work misuse and disciplinary action in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. This section may be reviewed and updated as business or legal requirements evolve. Managers may temporarily restrict remote work during critical project milestones. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, misuse, and, disciplinary, action"
P111,Remote Work Eligibility,"This section defines the expectations and constraints for remote work eligibility in the context of remote work and work-from-home arrangements. Employees must ensure reliable connectivity, data security, and a professional work environment. This section may be reviewed and updated as business or legal requirements evolve. Employees are expected to review this clause before raising queries with HR. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, eligibility"
P112,Remote Work Within Home City,"This section defines the expectations and constraints for remote work within home city in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers should apply this rule consistently across their teams to avoid perceived bias. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"remote, work, within, home, city"
P113,Remote Work Outside Home City,"This section defines the expectations and constraints for remote work outside home city in the context of remote work and work-from-home arrangements. Employees are expected to review this clause before raising queries with HR. Exceptions may be granted only with prior written approval from the appropriate authority. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",remote_work,v1,GLOBAL,medium,"remote, work, outside, home, city"
P114,Remote Work from Another State,"This section defines the expectations and constraints for remote work from another state in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, state"
P115,Remote Work from Another Country,"This section defines the expectations and constraints for remote work from another country in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, country"
P116,Maximum Remote Days Per Month,"This section defines the expectations and constraints for maximum remote days per month in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve.",remote_work,v1,GLOBAL,medium,"maximum, remote, days, per, month"
P117,Use of Co-working Spaces,"This section defines the expectations and constraints for use of co-working spaces in the context of remote work and work-from-home arrangements. Employees must ensure reliable connectivity, data security, and a professional work environment. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"use, of, co-working, spaces"
P118,VPN and Security Requirements,"This section defines the expectations and constraints for vpn and security requirements in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"vpn, and, security, requirements"
P119,Remote Work During Critical Onsite Days,This section defines the expectations and constraints for remote work during critical onsite days in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers may temporarily restrict remote work during critical project milestones. Employees are expected to review this clause before raising queries with HR.,remote_work,v1,GLOBAL,medium,"remote, work, during, critical, onsite, days"
P120,Remote Work Misuse and Disciplinary Action,"This section defines the expectations and constraints for remote work misuse and disciplinary action in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",remote_work,v1,GLOBAL,medium,"remote, work, misuse, and, disciplinary, action"
P121,Remote Work Eligibility,"This section defines the expectations and constraints for remote work eligibility in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Employees must ensure reliable connectivity, data security, and a professional work environment. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers should apply this rule consistently across their teams to avoid perceived bias.",remote_work,v1,GLOBAL,medium,"remote, work, eligibility"
P122,Remote Work Within Home City,"This section defines the expectations and constraints for remote work within home city in the context of remote work and work-from-home arrangements. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",remote_work,v1,GLOBAL,medium,"remote, work, within, home, city"
P123,Remote Work Outside Home City,"This section defines the expectations and constraints for remote work outside home city in the context of remote work and work-from-home arrangements. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers should apply this rule consistently across their teams to avoid perceived bias. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges.",remote_work,v1,GLOBAL,medium,"remote, work, outside, home, city"
P124,Remote Work from Another State,"This section defines the expectations and constraints for remote work from another state in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees must ensure reliable connectivity, data security, and a professional work environment. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Employees are expected to review this clause before raising queries with HR.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, state"
P125,Remote Work from Another Country,"This section defines the expectations and constraints for remote work from another country in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",remote_work,v1,GLOBAL,medium,"remote, work, from, another, country"
P126,Maximum Remote Days Per Month,"This section defines the expectations and constraints for maximum remote days per month in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Managers may temporarily restrict remote work during critical project milestones. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees must ensure reliable connectivity, data security, and a professional work environment.",remote_work,v1,GLOBAL,medium,"maximum, remote, days, per, month"
P127,Use of Co-working Spaces,"This section defines the expectations and constraints for use of co-working spaces in the context of remote work and work-from-home arrangements. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers may temporarily restrict remote work during critical project milestones. Employees must ensure reliable connectivity, data security, and a professional work environment. This section may be reviewed and updated as business or legal requirements evolve.",remote_work,v1,GLOBAL,medium,"use, of, co-working, spaces"
P128,VPN and Security Requirements,"This section defines the expectations and constraints for vpn and security requirements in the context of remote work and work-from-home arrangements. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority. Persistent misuse of remote work flexibility may lead to revocation of remote work privileges. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",remote_work,v1,GLOBAL,medium,"vpn, and, security, requirements"
P129,Remote Work During Critical Onsite Days,"This section defines the expectations and constraints for remote work during critical onsite days in the context of remote work and work-from-home arrangements. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority. Employees must ensure reliable connectivity, data security, and a professional work environment. Managers may temporarily restrict remote work during critical project milestones.",remote_work,v1,GLOBAL,medium,"remote, work, during, critical, onsite, days"
P130,Remote Work Misuse and Disciplinary Action,"This section defines the expectations and constraints for remote work misuse and disciplinary action in the context of remote work and work-from-home arrangements. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees must ensure reliable connectivity, data security, and a professional work environment. Exceptions may be granted only with prior written approval from the appropriate authority.",remote_work,v1,GLOBAL,medium,"remote, work, misuse, and, disciplinary, action"
P131,Sick Leave Eligibility,"This section outlines the guidelines for sick leave eligibility with respect to employee health, medical documentation, and operational continuity. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR. Where necessary, HR may request additional medical documentation to validate extended absence. Exceptions may be granted only with prior written approval from the appropriate authority.",sick_leave,v1,GLOBAL,medium,"sick, leave, eligibility"
P132,Sick Leave Entitlement Per Year,"This section outlines the guidelines for sick leave entitlement per year with respect to employee health, medical documentation, and operational continuity. Where necessary, HR may request additional medical documentation to validate extended absence. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Sick leave is intended exclusively for genuine illness or medical treatment.",sick_leave,v1,GLOBAL,medium,"sick, leave, entitlement, per, year"
P133,Medical Certificate Requirements,"This section outlines the guidelines for medical certificate requirements with respect to employee health, medical documentation, and operational continuity. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Sick leave is intended exclusively for genuine illness or medical treatment. Abuse of sick leave privileges may be treated as a disciplinary matter. Where necessary, HR may request additional medical documentation to validate extended absence.",sick_leave,v1,GLOBAL,medium,"medical, certificate, requirements"
P134,Consecutive Sick Leave Rules,"This section outlines the guidelines for consecutive sick leave rules with respect to employee health, medical documentation, and operational continuity. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers should apply this rule consistently across their teams to avoid perceived bias. This section may be reviewed and updated as business or legal requirements evolve. Sick leave is intended exclusively for genuine illness or medical treatment.",sick_leave,v1,GLOBAL,medium,"consecutive, sick, leave, rules"
P135,Sick Leave Carry Forward,"This section outlines the guidelines for sick leave carry forward with respect to employee health, medical documentation, and operational continuity. Employees are expected to review this clause before raising queries with HR. Exceptions may be granted only with prior written approval from the appropriate authority. Sick leave is intended exclusively for genuine illness or medical treatment. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",sick_leave,v1,GLOBAL,medium,"sick, leave, carry, forward"
P136,Sick Leave During Probation,"This section outlines the guidelines for sick leave during probation with respect to employee health, medical documentation, and operational continuity. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers should apply this rule consistently across their teams to avoid perceived bias. Sick leave is intended exclusively for genuine illness or medical treatment. This section may be reviewed and updated as business or legal requirements evolve.",sick_leave,v1,GLOBAL,medium,"sick, leave, during, probation"
P137,Restrictions on Working While Sick,"This section outlines the guidelines for restrictions on working while sick with respect to employee health, medical documentation, and operational continuity. Abuse of sick leave privileges may be treated as a disciplinary matter. Where necessary, HR may request additional medical documentation to validate extended absence. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",sick_leave,v1,GLOBAL,medium,"restrictions, on, working, while, sick"
P138,Remote Work While on Sick Leave,"This section outlines the guidelines for remote work while on sick leave with respect to employee health, medical documentation, and operational continuity. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Exceptions may be granted only with prior written approval from the appropriate authority. Abuse of sick leave privileges may be treated as a disciplinary matter. Where necessary, HR may request additional medical documentation to validate extended absence.",sick_leave,v1,GLOBAL,medium,"remote, work, while, on, sick, leave"
