query_id,query_text,gold_doc_ids,primary_policy_type,difficulty,scenario_group
Q114,"Hi HR Team, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P116,remote_work,hard,long_query
Q115,"Hello, I have a question about vpn and security requirements. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P088,remote_work,hard,ambiguous
Q116,"Hi HR Team, I have a question about employee engagement activities (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P190|P088,remote_work,easy,very_specific
Q117,"Dear HR, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P096,remote_work,medium,short_query
Q118,"Dear HR, I have a question about use of common areas and meeting rooms (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P194|P189|P103,remote_work,easy,long_query
Q119,"Hi, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P077|P106,remote_work,easy,ambiguous
Q120,"Dear HR, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P127|P114|P094,remote_work,very_hard,very_specific
Q121,"Dear HR, I have a question about remote work eligibility. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P081|P082|P127,remote_work,medium,ambiguous
Q122,"Hi, I have a question about remote work eligibility. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P081|P109,remote_work,hard,very_specific
Q123,"Hi, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P127|P129,remote_work,easy,ambiguous
Q124,"Hello, I have a question about vpn and security requirements. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P078,remote_work,very_hard,ambiguous
Q125,"Dear HR, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P089|P075|P087,remote_work,easy,long_query
Q126,"Dear HR, I have a question about remote work misuse and disciplinary action. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P120,remote_work,medium,very_specific
Q127,"Hi, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P127,remote_work,medium,ambiguous
Q128,"Hi, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P106|P085,remote_work,easy,long_query
Q129,"Dear HR, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P086|P105,remote_work,very_hard,long_query
Q130,"Hi, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P096,remote_work,medium,short_query
Q131,"Hi HR Team, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P127,remote_work,hard,ambiguous
Q132,"Hi HR Team, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P109|P093,remote_work,hard,long_query
Q133,"Dear HR, I have a question about vpn and security requirements. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P088|P193,remote_work,easy,ambiguous
Q134,"Hi, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P087,remote_work,easy,ambiguous
Q135,"Dear HR, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P164|P197|P157,sick_leave,easy,long_query
Q136,"Hello, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P159|P175|P165,sick_leave,hard,long_query
Q137,"Dear HR, I would like to understand how consecutive sick leave rules works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P158,sick_leave,easy,long_query
Q138,"Dear HR, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P141|P177,sick_leave,medium,ambiguous
Q139,"Dear HR, I would like to understand how sick leave eligibility works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P147|P172,sick_leave,hard,long_query
Q140,"Dear HR, I would like to understand how sick leave eligibility works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P163|P169,sick_leave,medium,long_query
Q141,"Dear HR, I would like to understand how company social media guidelines (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P199,sick_leave,easy,short_query
Q142,"Dear HR, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P180|P170|P171,sick_leave,easy,very_specific
Q143,"Hi, I would like to understand how restrictions on working while sick works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P161|P199,sick_leave,very_hard,ambiguous
Q144,"Hi, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P175,sick_leave,medium,very_specific
Q145,"Dear HR, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P160|P152,sick_leave,medium,ambiguous
Q146,"Dear HR, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P156|P180,sick_leave,hard,short_query
Q147,"Hello, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P160,sick_leave,hard,very_specific
Q148,"Hi, I would like to understand how restrictions on working while sick works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P137,sick_leave,hard,very_specific
Q149,"Hello, I would like to understand how employee engagement activities (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P202|P199,sick_leave,hard,ambiguous
Q150,"Hi HR Team, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P162|P163|P204,sick_leave,hard,very_specific
Q151,"Hi HR Team, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P156|P146|P144,sick_leave,hard,short_query
Q152,"Hi, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P162|P149|P166,sick_leave,easy,short_query
Q153,"Dear HR, I would like to understand how use of common areas and meeting rooms (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P203|P177,sick_leave,hard,very_specific
Q154,"Dear HR, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P156,sick_leave,medium,ambiguous
Q155,"Hello, I would like to understand how sick leave eligibility works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P155|P180|P167,sick_leave,hard,short_query
Q156,"Hello, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P156|P198,sick_leave,hard,ambiguous
Q157,"Hello, I would like to understand how restrictions on working while sick works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P169|P163|P133,sick_leave,easy,short_query
Q158,"Dear HR, I would like to understand how office dress code expectations (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P198|P164|P160,sick_leave,medium,long_query
Q159,"Hi, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P141|P171|P179,sick_leave,hard,ambiguous
Q160,"Hi HR Team, I would like to understand how restrictions on working while sick works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P161,sick_leave,hard,ambiguous
Q161,"Dear HR, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P168|P198,sick_leave,easy,very_specific
Q162,"Hi, I would like to understand how restrictions on working while sick works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P177,sick_leave,very_hard,long_query
Q163,"Hi HR Team, I would like to understand how company social media guidelines (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P199|P133,sick_leave,easy,long_query
Q164,"Hi, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P151|P140|P158,sick_leave,medium,very_specific
Q165,"Hi, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P176|P164,sick_leave,medium,ambiguous
Q166,"Dear HR, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P151|P161,sick_leave,hard,ambiguous
Q167,"Dear HR, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P143|P149,sick_leave,hard,long_query
Q168,"Hi, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P176|P175,sick_leave,very_hard,ambiguous
Q169,"Hi, I would like to understand how consecutive sick leave rules works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P166|P149,sick_leave,easy,very_specific
Q170,"Hi HR Team, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P180|P149,sick_leave,easy,ambiguous
Q171,"Hello, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P159|P179,sick_leave,very_hard,long_query
Q172,"Hello, I would like to understand how consecutive sick leave rules works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P166|P139,sick_leave,easy,long_query
Q173,"Hi HR Team, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P173|P171,sick_leave,medium,short_query
Q174,"Hello, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P152|P137|P175,sick_leave,medium,short_query
Q175,"Dear HR, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P172|P161|P173,sick_leave,medium,ambiguous
Q176,"Hi HR Team, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P172,sick_leave,easy,long_query
Q177,"Hello, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P157|P133,sick_leave,very_hard,very_specific
Q178,"Hi HR Team, I would like to understand how use of common areas and meeting rooms (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P203,sick_leave,easy,ambiguous
Q179,"Hi, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P149|P173|P166,sick_leave,very_hard,long_query
Q180,"Hi, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P143,sick_leave,hard,long_query
Q181,"Hello, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P176|P131,sick_leave,hard,ambiguous
Q182,"Hi, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P170|P200|P158,sick_leave,hard,short_query
Q183,"Hi HR Team, I would like to understand how consecutive sick leave rules works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P142|P162,sick_leave,hard,long_query
Q184,"Dear HR, I would like to understand how sick leave eligibility works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P155|P160,sick_leave,hard,ambiguous
Q185,"Hi HR Team, I would like to understand how sick leave eligibility works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P147|P176,sick_leave,medium,short_query
Q186,"Dear HR, I would like to understand how consecutive sick leave rules works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P150|P157,sick_leave,hard,short_query
Q187,"Hello, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P170|P145,sick_leave,medium,very_specific
Q188,"Hello, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P178|P157,sick_leave,very_hard,long_query
Q189,"Hi HR Team, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P164|P165|P177,sick_leave,hard,short_query
Q190,"Dear HR, I would like to understand how internal communication guidelines (general) works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P200|P167,sick_leave,medium,long_query
Q191,"Hi, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P138|P177,sick_leave,very_hard,short_query
Q192,"Hi HR Team, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P160|P164,sick_leave,very_hard,very_specific
Q193,"Dear HR, I would like to understand how consecutive sick leave rules works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P174|P178,sick_leave,easy,very_specific
Q194,"Hi, I would like to understand how remote work while on sick leave works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P178|P168,sick_leave,easy,short_query
Q195,"Hi, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P175,sick_leave,easy,short_query
Q196,"Dear HR, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Looking forward to your clarification.",P149|P142|P197,sick_leave,medium,very_specific
Q197,"Hi HR Team, I would like to understand how sick leave carry forward works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Appreciate your guidance.",P159|P155|P136,sick_leave,medium,ambiguous
Q198,"Hi HR Team, I would like to understand how medical certificate requirements works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P165|P164|P139,sick_leave,medium,short_query
Q199,"Hi, I would like to understand how sick leave during probation works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Please let me know what the policy says.",P160|P166|P155,sick_leave,medium,long_query
Q200,"Hi, I would like to understand how sick leave entitlement per year works in practice. If I am unwell for a few days or need an extended period of rest, what documentation is required, how many days are covered as sick leave, and at what point does it become loss of pay or need extra approval? Thanks in advance.",P140|P144,sick_leave,easy,short_query
