airline_sentiment,clean_text
positive,thanks help
neutral,got wouldnt let log email thx heres hoping dtwase issue today
negative,connecting charlotte houston mechanical issue determined qd checked bags
positive,love tv ad girl dancing makes laugh time want trip
positive,send linkemail formally compliment irene slc best customer service paxex
negative,loyal southwest beginning unhappy devaluation
negative,understood integration takes time excuse poor customer service
negative,link flight week trublue account num isnt answeringdont make fly dont
positive,thanks method nice appears design flaw
neutral,waiving change fees snow storm coming tomorrow iad winter storm warning tomorrow whats
neutral,flight njb heres looking blue kid departs enroute
neutral,left sons duke hat flight night says mason way locating thanks advance
negative,change airline dc today able land dc cost ugh
neutral,just landed lit
positive,exactly ill flying aa dallas airline trust
neutral,unveils new flights including ohio
negative,just directed mobile website direct link
negative,possibly worst airline think time brush customer service sorude
neutral,reservation tomorrow morning trying night bc flight going jfk list ctg
positive,thank
neutral,gonna know math test tomoro concentrate destinationdragons
neutral,request ticket change twitter
negative,onei booked different ones past days
positive,thanks gang mind ask handle social media house
positive,jetblue goes
neutral,rt new airline expected make way mem
positive,way fly elevate gold
positive,beautiful ride thanks
negative,big company happy customer costing delays oh did mention
positive,best airways follow
positive,having grandbabies weeks travel dc births thank reasonable fares saturday
positive,thank wish lady little rock told morning asked
negative,trying book flight amp site
positive,awww thank b glad hear day amp question idea tail operating flt maro
neutral,sfodfw sfoord
positive,ok thats super helpful thank ill reach questions
positive,gf yrs shes sf amp live tulsa swa takes love southwestluvsweeps
negative,stranded hours mia patrick casimir aa staff apologize great inconvenience unreal
neutral,traveling year old thursday does need id correct
positive,thanks appreciate kindness adjusting reservation snowstorms prefer southwest
neutral,wifi plain
negative,booked paid flight denver specific time meeting failed wasnt caused weather
neutral,dm
neutral,thanks looks like bwisjd services stops aug case date flights
negative,hello question balloons think life planes
neutral,lax amp just got phone wreservations flight thatd bos tmrw apparently unavailable
negative,narrowly standbylots snags trip
neutral,uhuhgroup trying nashville iad today instead tomorrowwhy preemptive
neutral,airways corporation registers high short wall street pulse
neutral,baggage check international flights
neutral,opened online applications fall intern positions company apply
neutral,letters follow sure include rewards number twitter handle email address
positive,love southwest accept flight attendants talents flyswa
negative,wtf delay delay hours yvr san unacceptable flight crew availability blame
positive,great flight thank great crew flight travel jetblue
negative,delay personnel combative point saying whats hury plane leaving
neutral,upload march ondemand entertainment listing website
negative,just bad practice disappointed airline preparedhonestly time fly guys
neutral,rebooked pick luggage
neutral,club virgin bumping new york
negative,cancelled flightled wifes flight service wont let going hours
neutral,workin waiting reply
negative,sadly didnt help travel agent disappointing
positive,great trip yesterday outstanding flight attendants
negative,sure bother agent airport didnt help amp phone ticket cancelled flightled reason
positive,beautiful thanks ton
negative,way receive refund trip cancelled flight online instead calling phone lines super busy
negative,flying denver march st flight itenary keeps getting changed heckbooked trip months ago
neutral,want change flight weather conditions dallas weekend able cover change fee miles
neutral,taxing ord avgeek
negative,charging change flight rip reason hands amp want reschedule flight july
