Question,Answer
who is at risk for breast cancer? ?,"some women develop breast cancer and others do not, and the risk factors for the disease vary. breast cancer may affect younger women, but three-fourths of all breast cancers occur in women between the ages of 45 to 85. in situ and invasive breast cancer researchers often talk about breast cancer in two ways: in situ and invasive. in situ refers to cancer that has not spread beyond its site of origin. invasive applies to cancer that has spread to the tissue around it. this chart shows what the approximate chances are of a woman getting invasive breast cancer in her lifetime. risk factors risk factors are conditions or agents that increase a person's chances of getting a disease. here are the most common risk factors for breast cancer. - older age. the risk of breast cancer in a 70 year old woman is about 10 times that of a 30 year old woman, but risk decreases after age 85. older age. the risk of breast cancer in a 70 year old woman is about 10 times that of a 30 year old woman, but risk decreases after age 85. - personal and family history. a personal history of breast cancer or breast cancer among one or more of your close relatives, such as a sister, mother, or daughter. personal and family history. a personal history of breast cancer or breast cancer among one or more of your close relatives, such as a sister, mother, or daughter. - estrogen levels in the body. high estrogen levels over a long time may increase the risk of breast cancer. estrogen levels are highest during the years a woman is menstruating. estrogen levels in the body. high estrogen levels over a long time may increase the risk of breast cancer. estrogen levels are highest during the years a woman is menstruating. - never being pregnant or having your first child in your mid-30s or later. never being pregnant or having your first child in your mid-30s or later. - early menstruation. having your first menstrual period before age 12. early menstruation. having your first menstrual period before age 12. - breast density. women with very dense breasts have a higher risk of breast cancer than women with low or normal breast density. breast density. women with very dense breasts have a higher risk of breast cancer than women with low or normal breast density. - combination hormone replacement therapy/hormone therapy. estrogen, progestin, or both may be given to replace the estrogen no longer made by the ovaries in postmenopausal women or women who have had their ovaries removed. this is called hormone replacement therapy. (hrt) or hormone therapy (ht). combination hrt/ht is estrogen combined with progestin. this type of hrt/ht can increase the risk of breast cancer. combination hormone replacement therapy/hormone therapy. estrogen, progestin, or both may be given to replace the estrogen no longer made by the ovaries in postmenopausal women or women who have had their ovaries removed. this is called hormone replacement therapy. (hrt) or hormone therapy (ht). combination hrt/ht is estrogen combined with progestin. this type of hrt/ht can increase the risk of breast cancer. - exposure to radiation. radiation therapy to the chest for the treatment of cancer can increase the risk of breast cancer, starting 10 years after treatment. radiation therapy to treat cancer in one breast does not appear to increase the risk of cancer in the other breast. exposure to radiation. radiation therapy to the chest for the treatment of cancer can increase the risk of breast cancer, starting 10 years after treatment. radiation therapy to treat cancer in one breast does not appear to increase the risk of cancer in the other breast. - obesity. obesity increases the risk of breast cancer, especially in postmenopausal women who have not used hormone replacement therapy. obesity. obesity increases the risk of breast cancer, especially in postmenopausal women who have not used hormone replacement therapy. - alcohol. drinking alcohol increases the risk of breast cancer. the level of risk rises as the amount of alcohol consumed rises. alcohol. drinking alcohol increases the risk of breast cancer. the level of risk rises as the amount of alcohol consumed rises. - gaining weight after menopause, especially after natural menopause and/or after age 60. gaining weight after menopause, especially after natural menopause and/or after age 60. - race. white women are at greater risk than black women. however, black women diagnosed with breast cancer are more likely to die of the disease. race. white women are at greater risk than black women. however, black women diagnosed with breast cancer are more likely to die of the disease. - inherited gene changes. women who have inherited certain changes in the genes named brca1 and brca2 have a higher risk of breast cancer, ovarian cancer and maybe colon cancer. the risk of breast cancer caused by inherited gene changes depends on the type of gene mutation, family history of cancer, and other factors. men who have inherited certain changes in the brca2 gene have a higher risk of breast, prostate and pancreatic cancers, and lymphoma. inherited gene changes. women who have inherited certain changes in the genes named brca1 and brca2 have a higher risk of breast cancer, ovarian cancer and maybe colon cancer. the risk of breast cancer caused by inherited gene changes depends on the type of gene mutation, family history of cancer, and other factors. men who have inherited certain changes in the brca2 gene have a higher risk of breast, prostate and pancreatic cancers, and lymphoma. five percent to 10 percent of all breast cancers are thought to be inherited. get information about the brca1 and brca2 genetic mutations and testing for them. warning signs when breast cancer first develops, there may be no symptoms at all. but as the cancer grows, it can cause changes that women should watch for. you can help safeguard your health by learning the following warning signs of breast cancer. - a lump or thickening in or near the breast or in the underarm area - a change in the size or shape of the breast - a dimple or puckering in the skin of the breast - a nipple turned inward into the breast - fluid, other than breast milk, from the nipple, especially if it's bloody - scaly, red, or swollen skin on the breast, nipple, or areola (the dark area of skin around the nipple) - dimples in the breast that look like the skin of an orange. a lump or thickening in or near the breast or in the underarm area a change in the size or shape of the breast a dimple or puckering in the skin of the breast a nipple turned inward into the breast fluid, other than breast milk, from the nipple, especially if it's bloody scaly, red, or swollen skin on the breast, nipple, or areola (the dark area of skin around the nipple) dimples in the breast that look like the skin of an orange. don't ignore symptoms you should see your doctor about any symptoms like these. most often, they are not cancer, but it's important to check with the doctor so that any problems can be diagnosed and treated as early as possible. some women believe that as they age, health problems are due to ""growing older."" because of this myth, many illnesses go undiagnosed and untreated. don't ignore your symptoms because you think they are not important or because you believe they are normal for your age. talk to your doctor."
what is (are) copd ?,"copd (chronic obstructive pulmonary disease) makes it hard for you to breathe. the two main types are chronic bronchitis and emphysema. the main cause of copd is long-term exposure to substances that irritate and damage the lungs. this is usually cigarette smoke. air pollution, chemical fumes, or dust can also cause it. at first, copd may cause no symptoms or only mild symptoms. as the disease gets worse, symptoms usually become more severe. they include - a cough that produces a lot of mucus - shortness of breath, especially with physical activity - wheezing - chest tightness doctors use lung function tests, imaging tests, and blood tests to diagnose copd. there is no cure. treatments may relieve symptoms. they include medicines, oxygen therapy, surgery, or a lung transplant. quitting smoking is the most important step you can take to treat copd. nih: national heart, lung, and blood institute"
what is (are) copd ?,"chronic obstructive pulmonary disease, or copd, is a progressive lung disease in which the airways of the lungs become damaged, making it hard to breathe. you may also have heard copd called other names, like emphysema or chronic bronchitis. in people who have copd, the airways that carry air in and out of the lungs are partially blocked, making it difficult to get air in and out. copd is a major cause of death and illness throughout the world. it kills more than 120,000 americans each year. that's one death every 4 minutes. how copd affects airways the ""airways"" are the tubes that carry air in and out of the lungs through the nose and mouth. the airways of the lungs branch out like an upside-down tree. at the end of each branch are many small, balloon-like air sacs. in healthy people, the airways and air sacs are elastic (stretchy). when you breathe in, each air sac fills up with air, like a small balloon, and when you breathe out, the balloon deflates and the air goes out. in people with copd, the airways and air sacs lose their shape and become floppy. less air gets in and less air goes out of the airways because - the airways and air sacs lose their elasticity like an old rubber band. - the walls between many of the air sacs are destroyed. - the walls of the airways become thick and inflamed or swollen. - cells in the airways make more mucus or sputum than usual, which tends to clog the airways. the airways and air sacs lose their elasticity like an old rubber band. the walls between many of the air sacs are destroyed. the walls of the airways become thick and inflamed or swollen. cells in the airways make more mucus or sputum than usual, which tends to clog the airways. copd develops slowly, has no cure when copd is severe, shortness of breath and other symptoms of copd can get in the way of even the most basic tasks, such as doing light housework, taking a walk, even washing and dressing. copd develops slowly, and it may be many years before you notice symptoms like feeling short of breath. most of the time, copd is diagnosed in middle-aged or older people. there is no cure for copd. the damage to your airways and lungs cannot be reversed, but there are things you can do to control the disabling effects of the disease. copd is not contagious. you cannot catch it from someone else."
what is (are) copd ?,"chronic obstructive pulmonary disease, or copd, is a progressive lung disease in which the airways of the lungs become damaged, making it harder to breathe. with copd, airways become blocked, making it harder to get air in and out."
what are the symptoms of copd ?,"call your doctor right away if your symptoms worsen suddenly. people with copd may have symptoms that suddenly get worse. when this happens, you have a much harder time catching your breath. symptoms that worsen suddenly can include sudden chest tightness, more coughing, a change in your sputum (mucus), or fever. your doctor will look at things that may be causing these sudden symptoms. sometimes the symptoms are caused by a lung infection."
what are the treatments for copd ?,"bronchodilators and inhaled steroids are two medications used to treat copd. bronchodilators work by relaxing the muscles around the airways, opening them and making it easier to breathe. people with mild copd take bronchodilators using an inhaler only when needed. those with moderate or severe copd may need more regular treatment. inhaled steroids also are used for people with moderate or severe copd in order to reduce swelling in the airways."
how to diagnose copd ?,"if you have not been exercising regularly, you should get the advice of your doctor before starting. the symptoms of copd are different for each person. people with mild copd may not have much difficulty walking or exercising. as the symptoms of copd get worse over time, a person may have more difficulty with walking and exercising. you should talk to your doctor about exercising and whether you would benefit from a pulmonary or lung rehabilitation program."
what are the symptoms of copd ?,"the most common symptoms of copd are a cough that does not go away and coughing up a lot of sputum (mucus). these symptoms may occur years before lung damage has reduced the flow of air in and out of the lungs. other symptoms of copd include shortness of breath, especially with exercise; wheezing (a whistling sound when you breathe); and tightness in the chest."
how to diagnose copd ?,"to confirm a copd diagnosis, a doctor will use a breathing test called spirometry. the test is easy and painless. it shows how well the lungs are working. the spirometer measures how much air the lungs can hold and how fast air is blown out of the lungs. other tests, such as bronchodilator reversibility testing, a chest x-ray, and arterial blood gas test, may be ordered."
what causes copd ?,"smoking most cases of copd develop over time, from breathing in fumes and other things that irritate the lungs. some of the things that put you at risk for copd include smoking, environmental exposure, and genetic factors. cigarette smoking is the most common cause of copd in the united states (either current or former smokers). pipe, cigar, and other types of tobacco smoking can also cause copd, especially if the smoke is inhaled. environmental exposure copd can also occur in people who have had long-term exposure to things that can irritate your lungs, like chemical fumes, or dust from the environment or workplace. heavy or long-term exposure to secondhand smoke or other air pollutants may also contribute to copd even if you have never smoked or had long-term exposure to harmful pollutants. secondhand smoke is smoke in the air from other people smoking. genetic factors in a small number of people, copd is caused by a genetic condition known as alpha-1 antitrypsin, or aat, deficiency. people who have this condition have low levels of alpha-1 antitrypsin (aat)a protein made in the liver. having a low level of the aat protein can lead to lung damage and copd if you're exposed to smoke or other lung irritants. if you have this condition and smoke, copd can worsen very quickly. while very few people know if they have aat deficiency, it is estimated that about 1 in every 1,600 people to about 1 in every 5,000 people have it. people with aat deficiency can get copd even if they have never smoked or had long-term exposure to harmful pollutants. asthma although uncommon, some people who have asthma can develop copd. asthma is a chronic (long-term) lung disease that inflames and narrows the airways. treatment usually can reverse the inflammation and narrowing. however, if not, copd can develop."
what is (are) copd ?,"more information on copd is available at: what is copd? and at the learn more, breathe better campaign for information on quitting smoking, visit or smokefree.gov. for information on the h1n1 flu and copd, go to the centers for disease control and prevention."
what are the symptoms of copd ?,"common symptoms the most common symptoms of copd are - a cough that does not go away - coughing up lots of sputum (mucus). a cough that does not go away coughing up lots of sputum (mucus). these symptoms often start years before the flow of air in and out of the lungs is reduced. not everyone who has a cough and sputum goes on to develop copd. other common symptoms of copd include - shortness of breath while doing activities you used to be able to do - wheezing (a whistling sound when you breathe) - tightness in the chest. shortness of breath while doing activities you used to be able to do wheezing (a whistling sound when you breathe) tightness in the chest. getting a diagnosis your doctor will diagnose copd based on your signs and symptoms, your medical and family histories, and test results. if your doctor thinks you may have copd, he or she will examine you, listen to your lungs, and ask you questions about your medical history, and what lung irritants you may have been around for long periods of time. the spirometry test to confirm a diagnosis of copd, your doctor will use a breathing test called spirometry. the test is easy and painless and shows how much air you can breathe out and measures how fast you can breathe it out. in a spirometry test, you breathe hard into a large hose connected to a machine called a spirometer. when you breathe out, the spirometer measures how much air your lungs can hold and how fast you can blow air out of your lungs. spirometry can detect copd before symptoms develop. your doctor also might use the test results to find out how severe your copd is and to help set your treatment goals. the test results also may help find out whether another condition, such as asthma or heart failure, is causing your symptoms. determining copd severity based on this test, your doctor can determine if you have copd and how severe it is. there are four levels of severity for copd: - people at risk for copd - people with mild copd - people with moderate copd - people with severe copd. people at risk for copd people with mild copd people with moderate copd people with severe copd. people at risk for developing copd have a normal breathing test and mild symptoms such as chronic cough and sputum (mucus) production. people with mild copd have mild breathing limitation. symptoms may include a chronic cough and sputum (mucus) production. at this stage, you may not be aware that airflow in your lungs is reduced. people with moderate copd have a breathing test that shows worsening airflow blockages. symptoms may be worse than with mild copd and you may experience shortness of breath while working hard, walking fast, or doing brisk activity. at this stage, you would seek medical attention. people with severe copd have a breathing test that shows severe limitation of the airflow. people with severe copd will be short of breath after just a little activity. in very severe copd, complications like respiratory failure or signs of heart failure may develop. at this stage, quality of life is impaired and worsening symptoms may be life-threatening. other tests other tests are used to rule out other causes of the symptoms. - bronchodilator reversibility testing uses the spirometer and medications called bronchodilators to assess whether breathing problems may be caused by asthma. bronchodilator reversibility testing uses the spirometer and medications called bronchodilators to assess whether breathing problems may be caused by asthma. - a chest x-ray or a chest ct scan may also be ordered by your doctor. these tests create pictures of the structures inside your chest, such as your heart, lungs, and blood vessels. the pictures can show signs of copd. they also may show whether another condition, such as heart failure, is causing your symptoms. a chest x-ray or a chest ct scan may also be ordered by your doctor. these tests create pictures of the structures inside your chest, such as your heart, lungs, and blood vessels. the pictures can show signs of copd. they also may show whether another condition, such as heart failure, is causing your symptoms. - an arterial blood gas test is another test that is used. this blood test shows the oxygen level in the blood to see how severe your copd is and whether you need oxygen therapy. an arterial blood gas test is another test that is used. this blood test shows the oxygen level in the blood to see how severe your copd is and whether you need oxygen therapy."
what causes copd ?,"cigarette smoking is the most common cause of copd. most people with copd are smokers or have been smokers in the past. breathing in other fumes and dusts over long periods of time can also lead to copd. pipe, cigar, and other types of tobacco smoking can cause copd, especially if the smoke is inhaled. exposure to secondhand smoke can play a role in causing copd. most people with copd are at least 40 years old or around middle age when symptoms start."
what are the treatments for copd ?,"treatment for copd can be different for each person and is based on whether symptoms are mild, moderate or severe. treatments include medication, pulmonary or lung rehabilitation, oxygen treatment, and surgery. there are also treatments to manage complications or a sudden onset of symptoms."
what is (are) cataract ?,"a cataract is a clouding of the lens in your eye. it affects your vision. cataracts are very common in older people. by age 80, more than half of all americans either have a cataract or have had cataract surgery. a cataract can occur in either or both eyes. it cannot spread from one eye to the other. common symptoms are - blurry vision - colors that seem faded - glare - headlights, lamps or sunlight may seem too bright. you may also see a halo around lights. - not being able to see well at night - double vision - frequent prescription changes in your eye wear cataracts usually develop slowly. new glasses, brighter lighting, anti-glare sunglasses or magnifying lenses can help at first. surgery is also an option. it involves removing the cloudy lens and replacing it with an artificial lens. wearing sunglasses and a hat with a brim to block ultraviolet sunlight may help to delay cataracts. nih: national eye institute"
what is (are) cataract ?,"a clouding of the lens in the eye a cataract is a clouding of the lens in the eye that affects vision. the lens is a clear part of the eye that helps to focus light, or an image, on the retina. the retina is the light-sensitive tissue at the back of the eye. in a normal eye, light passes through the transparent lens to the retina. once it reaches the retina, light is changed into nerve signals that are sent to the brain. in a normal eye, light passes through the transparent lens to the retina. once it reaches the retina, light is changed into nerve signals that are sent to the brain. a cataract can occur in either or both eyes. it cannot spread from one eye to the other. cataracts and aging most cataracts are related to aging. cataracts are very common in older people. by age 80, more than half of all americans either have a cataract or have had cataract surgery."
what are the treatments for cataract ?,"a cataract needs to be removed only when vision loss interferes with your everyday activities, such as driving, reading, or watching tv. you and your eye care professional can make this decision together. is surgery right for you? once you understand the benefits and risks of surgery, you can make an informed decision about whether cataract surgery is right for you. in most cases, delaying cataract surgery will not cause long-term damage to your eye or make the surgery more difficult. you do not have to rush into surgery. sometimes a cataract should be removed even if it does not cause problems with your vision. for example, a cataract should be removed if it prevents examination or treatment of another eye problem, such as age-related macular degeneration or diabetic retinopathy. if you choose surgery, your eye care professional may refer you to a specialist to remove the cataract. if you have cataracts in both eyes that require surgery, the surgery will be performed on each eye at separate times, usually four to eight weeks apart. cataract removal is one of the most common operations performed in the united states. it also is one of the safest and most effective types of surgery. in about 90 percent of cases, people who have cataract surgery have better vision afterward. types of cataract surgery there are two types of cataract surgery, phacoemulsification and extracapsular surgery. your doctor can explain the differences and help determine which is better for you. with phacoemulsification, or phaco, a small incision is made on the side of the cornea, the clear, dome-shaped surface that covers the front of the eye. your doctor inserts a tiny probe into the eye. this device emits ultrasound waves that soften and break up the lens so that it can be removed by suction. most cataract surgery today is done by phacoemulsification, also called small incision cataract surgery. with extracapsular surgery, your doctor makes a longer incision on the side of the cornea and removes the cloudy core of the lens in one piece. the rest of the lens is removed by suction. an artificial lens replaces the natural lens after the natural lens has been removed, it usually is replaced by an artificial lens, called an intraocular lens, or iol. an iol is a clear, plastic lens that requires no care and becomes a permanent part of your eye. light is focused clearly by the iol onto the retina, improving your vision. you will not feel or see the new lens. the operation usually lasts less than one hour and is almost painless. many people choose to stay awake during surgery. you can return quickly to many everyday activities, but your vision may be blurry. the healing eye needs time to adjust so that it can focus properly with the other eye, especially if the other eye has a cataract. ask your doctor when you can resume driving. wearing sunglasses and a hat with a brim to block ultraviolet sunlight may help to delay cataract. if you smoke, stop. researchers also believe good nutrition can help reduce the risk of age-related cataract. they recommend eating green leafy vegetables, fruit, and other foods with antioxidants. if you are age 60 or older, you should have a comprehensive dilated eye exam at least once a year. in addition to cataract, your eye care professional can check for signs of age-related macular degeneration, glaucoma, and other vision disorders. for many eye diseases, early treatment may save your sight."
who is at risk for cataract? ?,"as with any surgery, cataract surgery poses risks such as infection and bleeding. before cataract surgery, your doctor may ask you to temporarily stop taking certain medications that increase the risk of bleeding during surgery. after surgery, you must keep your eye clean, wash your hands before touching your eye, and use the prescribed medications to help minimize the risk of infection. serious infection can result in loss of vision. cataract surgery slightly increases your risk of retinal detachment. other eye disorders, such as nearsightedness, can further increase your risk of retinal detachment after cataract surgery. a retinal detachment causes no pain. early treatment for retinal detachment often can prevent permanent loss of vision. the longer the retina stays detached, the less likely you will regain good vision once you are treated. even if you are treated promptly, some vision may be lost. talk to your eye care professional about these risks. make sure cataract surgery is right for you."
what is (are) cataract ?,"yes. there are two types of cataract surgery, phacoemulsification and extracapsular surgery. your doctor can explain the differences and help determine which is better for you. with phacoemulsification, or phaco, a small incision is made on the side of the cornea, the clear, dome-shaped surface that covers the front of the eye. your doctor inserts a tiny probe into the eye. this device emits ultrasound waves that soften and break up the lens so that it can be removed by suction. most cataract surgery today is done by phacoemulsification, also called ""small incision cataract surgery."" with extracapsular surgery, your doctor makes a longer incision on the side of the cornea and removes the cloudy core of the lens in one piece. the rest of the lens is removed by suction."
who is at risk for cataract? ?,"here are several things you can do to lower your risk for cataract. have regular eye exams. eye exams can help detect cataracts and other age-related eye problems at their earliest stages. if you are age 60 or older, you should have a comprehensive dilated eye exam at least once a year. in addition to cataract, your eye care professional can check for signs of age-related macular degeneration, glaucoma, and other vision disorders. for many eye diseases, early treatment may save your sight. quit smoking. ask your doctor for help to stop smoking. medications, counseling and other strategies are available to help you. wear sunglasses. wear sunglasses that block ultraviolet b (uvb) rays when you're outdoors. take care of other health problems. follow your treatment plan if you have diabetes or other medical conditions that can increase your risk of cataracts. maintain a healthy weight. if your current weight is a healthy one, work to maintain it by exercising most days of the week. if you're overweight or obese, work to lose weight slowly by reducing your calorie intake and increasing the amount of exercise you get each day. choose a healthy diet. a diet that includes plenty of colorful fruits and vegetables ensures that you're getting a lot of vitamins and nutrients, which in theory could prevent damage to your eye's lens."
who is at risk for cataract? ?,"the risk of cataract increases as you get older. besides age, other risk factors for cataract include - certain diseases like diabetes - personal behavior like smoking or alcohol use - environmental factors such as prolonged exposure to ultraviolet sunlight. certain diseases like diabetes personal behavior like smoking or alcohol use environmental factors such as prolonged exposure to ultraviolet sunlight."
what are the symptoms of cataract ?,"the most common symptoms of a cataract are - cloudy or blurry vision - colors seem faded - glare -- headlights, lamps, or sunlight appearing too bright, or a halo may appear around lights - poor night vision - double vision or multiple images in one eye - frequent prescription changes in your eyeglasses or contact lenses. cloudy or blurry vision colors seem faded glare -- headlights, lamps, or sunlight appearing too bright, or a halo may appear around lights poor night vision double vision or multiple images in one eye frequent prescription changes in your eyeglasses or contact lenses. these symptoms can also be a sign of other eye problems. if you have any of these symptoms, check with your eye care professional."
who is at risk for cataract? ?,"age-related cataracts develop in two ways. - clumps of protein reduce the sharpness of the image reaching the retina. - the clear lens slowly changes to a yellowish/brownish color, adding a brownish tint to vision. clumps of protein reduce the sharpness of the image reaching the retina. the clear lens slowly changes to a yellowish/brownish color, adding a brownish tint to vision. protein clumpings cloud the lens the lens consists mostly of water and protein. when the protein clumps up, it clouds the lens and reduces the light that reaches the retina. the clouding may become severe enough to cause blurred vision. most age-related cataracts develop from protein clumpings. when a cataract is small, the cloudiness affects only a small part of the lens. you may not notice any changes in your vision. cataracts tend to grow slowly, so vision gets worse gradually. over time, the cloudy area in the lens may get larger, and the cataract may increase in size. seeing may become more difficult. your vision may get duller or blurrier. discoloration of the lens cataracts cause the lens to change to a yellowish/brownish color. as the clear lens slowly colors with age, your vision gradually may acquire a brownish shade. at first, the amount of tinting may be small and may not cause a vision problem. over time, increased tinting may make it more difficult to read and perform other routine activities. this gradual change in the amount of tinting does not affect the sharpness of the image transmitted to the retina. if you have advanced lens discoloration, you may not be able to identify blues and purples. you may be wearing what you believe to be a pair of black socks, only to find out from friends that you are wearing purple socks. risk factors the risk of cataract increases as you get older. other risk factors for cataract include - certain diseases like diabetes - personal behavior like smoking or alcohol use - environmental factors such as prolonged exposure to ultraviolet sunlight. certain diseases like diabetes personal behavior like smoking or alcohol use environmental factors such as prolonged exposure to ultraviolet sunlight."
what is (are) cataract ?,"national eye institute national institutes of health 2020 vision place bethesda, md 20892-3655 301-496-5248 e-mail: 2020@nei.nih.gov for more information about intraocular lenses, or iols, contact: u.s. food and drug administration 10903 new hampshire avenue silver spring, md 20993-0002 1-888-463-6332 e-mail: webmail@oc.fda.gov"
what are the symptoms of cataract ?,"common symptoms the most common symptoms of a cataract are - cloudy or blurry vision and poor night vision - glare -- headlights, lamps, or sunlight may appear too bright or a halo may appear around lights - double vision or multiple images in one eye - frequent prescription changes in your eyeglasses or contact lenses. cloudy or blurry vision and poor night vision glare -- headlights, lamps, or sunlight may appear too bright or a halo may appear around lights double vision or multiple images in one eye frequent prescription changes in your eyeglasses or contact lenses. tests for cataract cataract is detected through a comprehensive eye exam that includes a visual acuity test, dilated eye exam, and tonometry. tests for cataract - the visual acuity test is an eye chart test that measures how well you see at various distances. - in the dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of damage and other eye problems. - in tonometry, an instrument measures the pressure inside the eye. numbing drops may be applied to your eye for this test. the visual acuity test is an eye chart test that measures how well you see at various distances. in the dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of damage and other eye problems. in tonometry, an instrument measures the pressure inside the eye. numbing drops may be applied to your eye for this test. dealing with symptoms the symptoms of early cataract may be improved with new eyeglasses, brighter lighting, anti-glare sunglasses, or magnifying lenses. if these measures do not help, surgery is the only effective treatment. surgery involves removing the cloudy lens and replacing it with an artificial lens."
what is (are) cataract ?,"the lens is a clear part of the eye that helps to focus light, or an image, on the retina. the retina is the light-sensitive tissue at the back of the eye. in a normal eye, light passes through the transparent lens to the retina. once it reaches the retina, light is changed into nerve signals that are sent to the brain. the lens must be clear for the retina to receive a sharp image. if the lens is cloudy from a cataract, the image you see will be blurred."
what is (are) cataract ?,"yes. although most cataracts are related to aging, there are other types of cataract. these include - secondary cataract - traumatic cataract - congenital cataract - radiation cataract. secondary cataract traumatic cataract congenital cataract radiation cataract. secondary cataracts can form after surgery for other eye problems, such as glaucoma. they also can develop in people who have other health problems, such as diabetes. secondary cataracts are sometimes linked to steroid use. traumatic cataracts can develop after an eye injury, sometimes years later. some babies are born with cataracts or develop them in childhood, often in both eyes. these congenital cataracts may be so small that they do not affect vision. if they do, the lenses may need to be removed. radiation cataracts can develop after exposure to some types of radiation."
